,active_windows,total_windows,coverage_pct,avg_funding_when_active,median_funding_when_active,max_funding,min_funding
OPUSDT,1,3286,0.030432136335970784,0.00202586,0.00202586,0.00202586,0.0
CRVUSDT,7,3286,0.2130249543517955,0.0028635360714285713,0.0024047725,0.00682717,0.0
ARBUSDT,0,2747,0.0,0.0,0.0,0.00128625,8e-08
GALAUSDT,9,3286,0.2738892270237371,0.0040221671527777775,0.0036497049999999996,0.0075,0.0
AAVEUSDT,0,3286,0.0,0.0,0.0,0.0011126,0.0
ETHUSDT,0,3286,0.0,0.0,0.0,0.00101724,0.0
BTCUSDT,0,3286,0.0,0.0,0.0,0.0011378475000000002,0.0
IMXUSDT,9,3286,0.2738892270237371,0.006885384999999999,0.0033953206249999995,0.025,0.0
UNIUSDT,0,3286,0.0,0.0,0.0,0.00119001,0.0
COMPUSDT,24,3286,0.7303712720632989,0.004167473776041667,0.0027596840625,0.014926590625000001,0.0
DOGEUSDT,0,3286,0.0,0.0,0.0,0.00102757,0.0
