,bh_total_return,bh_annualized_return,bh_sharpe,carry_total_return,carry_annualized_return,carry_sharpe,total_pnl,funding_pnl,fees_paid,basis_pnl,trade_count,avg_holding_periods,funding_pnl_pct,fees_pnl_pct,basis_pnl_pct
OPUSDT,-0.25571737721713705,-0.09378146440156232,-0.10717525628050842,0.002239256752328611,0.0007458624683107651,-10.165508593034357,22.392567523285834,40.5172,18.124632476714176,0,2,1642.5,180.94039443161898,80.94039443161903,0.0
CRVUSDT,-0.2745764690029415,-0.10150348685198973,-0.11266950313764262,-0.047699610975554085,-0.016159596278187638,-3.2450824595147716,-476.9961097555406,-400.89504999999997,76.10105975554035,0,11,298.6363636363636,84.04576930521671,-15.954230694783227,-0.0
ARBUSDT,-0.6704853965342559,-0.35779042035077857,-0.40355982461827083,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2746.0,0.0,0.0,0.0
GALAUSDT,-0.6346659430894542,-0.2851981542374016,-0.2745529354450349,-0.08343444304940784,-0.028622936869689752,-2.8889557891022157,-834.3444304940786,-723.9900875000001,110.35434299407683,0,15,219.0,86.77352674018219,-13.226473259817611,-0.0
AAVEUSDT,2.5729991831329366,0.5289751947440249,0.5566717905425537,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3285.0,0.0,0.0,0.0
ETHUSDT,2.11131071289291,0.46003913332521296,0.7310676023531462,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3285.0,0.0,0.0,0.0
BTCUSDT,4.853739518954448,0.8025570851220905,1.737549231690739,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3285.0,0.0,0.0,0.0
IMXUSDT,-0.10502887069381572,-0.03632309634772213,-0.05241328088522228,-0.13116773532181547,-0.045787034156785644,-1.840797475880163,-1311.6773532181542,-1239.3693,72.30805321815345,0,13,252.69230769230768,94.48735978853726,-5.5126402114626885,-0.0
UNIUSDT,0.3598399959638532,0.10792276517483024,0.09111835275106282,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3285.0,0.0,0.0,0.0
COMPUSDT,-0.3376847441785802,-0.1283607923188309,-0.15077138909939136,-0.22557024192865915,-0.08168006759503654,-2.920024235673147,-2255.702419286592,-2000.3874125,255.31500678659236,0,38,86.44736842105263,88.68135244243165,-11.318647557568365,-0.0
DOGEUSDT,2.7751741428592918,0.5572950039304347,0.5724158418918244,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3285.0,0.0,0.0,0.0
